order_item_id,order_id,product_id,quantity,price_per_unit
1,53,88,4,1405.15
2,54,91,4,39.73
3,63,22,1,32.16
4,73,4,2,32.06
5,38,5,3,39.59
6,29,69,3,320.15
7,22,100,4,10.39
8,73,96,4,55.48
9,71,66,1,395.21
10,74,15,3,82.0
11,100,70,3,873.54
12,70,97,1,491.31
13,98,93,4,373.89
14,70,28,4,79.01
15,14,95,2,124.88
16,39,5,4,39.59
17,34,45,1,85.91
18,57,16,2,190.53
19,27,95,5,124.88
20,89,45,5,85.91
21,81,55,2,426.41
22,79,18,2,773.61
23,27,8,5,82.96
24,45,69,3,320.15
25,77,69,2,320.15
26,42,91,3,39.73
27,38,74,3,497.92
28,66,87,1,23.98
29,18,97,4,491.31
30,8,36,2,117.17
31,90,17,2,88.64
32,19,92,3,196.02
33,32,98,4,149.77
34,63,19,5,10.15
35,81,35,4,376.91
36,49,58,1,565.48
37,82,99,1,23.16
38,52,66,3,395.21
39,89,48,4,269.09
40,63,42,5,264.25
41,1,100,1,10.39
42,94,59,3,73.65
43,9,69,4,320.15
44,28,55,2,426.41
45,64,35,3,376.91
46,37,44,5,237.95
47,74,17,5,88.64
48,63,44,1,237.95
49,6,13,4,46.78
50,3,16,2,190.53
51,57,59,1,73.65
52,55,26,2,111.38
53,84,39,2,50.12
54,36,12,3,36.57
55,33,11,3,108.32
56,86,84,2,411.37
57,7,51,3,362.18
58,93,90,2,306.76
59,55,84,1,411.37
60,91,13,1,46.78
61,28,62,1,600.4
62,17,76,2,18.98
63,67,88,4,1405.15
64,2,2,3,540.89
65,16,55,2,426.41
66,62,10,2,5.04
67,50,12,1,36.57
68,14,41,3,24.0
69,39,18,4,773.61
70,100,97,2,491.31
71,83,87,2,23.98
72,9,68,5,548.81
73,2,79,2,582.94
74,57,45,2,85.91
75,81,96,2,55.48
76,53,79,4,582.94
77,28,12,1,36.57
78,18,97,1,491.31
79,76,94,4,98.09
80,45,55,3,426.41
81,18,32,3,433.75
82,83,11,2,108.32
83,71,77,5,164.32
84,93,78,3,40.28
85,100,89,1,31.22
86,85,39,2,50.12
87,67,78,5,40.28
88,25,96,4,55.48
89,38,83,1,347.89
90,31,64,4,377.22
91,15,31,4,101.89
92,82,77,1,164.32
93,68,2,3,540.89
94,41,17,4,88.64
95,73,54,3,129.63
96,70,88,2,1405.15
97,98,61,1,68.21
98,3,76,1,18.98
99,2,34,2,70.03
100,6,8,4,82.96
