order_id,order_date,customer_id,employee_id,store_id,status,shipping_fee
1,2025-05-02,90,44,17,Delivered,0
2,2025-08-27,24,25,42,Delivered,0
3,2023-04-29,60,25,42,Shipped,5.99
4,2025-12-21,72,99,74,Delivered,5.99
5,2024-11-07,27,54,70,Pending,0
6,2023-07-09,48,89,66,Shipped,9.99
7,2024-07-03,7,74,76,Delivered,9.99
8,2024-01-21,10,52,55,Cancelled,7.99
9,2024-03-03,62,65,57,Delivered,4.99
10,2024-01-25,28,98,74,Cancelled,0
11,2024-02-23,32,66,67,Delivered,0
12,2024-08-02,100,100,61,Delivered,5.99
13,2024-06-19,40,45,85,Delivered,7.99
14,2023-07-21,60,81,91,Cancelled,5.99
15,2025-01-29,27,67,58,Delivered,5.99
16,2023-10-26,95,4,34,Delivered,4.99
17,2023-11-09,38,100,61,Delivered,4.99
18,2024-05-18,73,19,21,Shipped,7.99
19,2025-09-27,33,57,89,Cancelled,9.99
20,2023-12-11,59,66,67,Cancelled,4.99
21,2025-09-27,93,14,78,Delivered,7.99
22,2023-03-11,68,57,89,Delivered,9.99
23,2023-10-09,53,5,65,Pending,0
24,2023-01-19,20,40,98,Delivered,7.99
25,2025-09-16,8,56,94,Pending,5.99
26,2025-04-22,69,2,93,Delivered,0
27,2024-08-10,36,96,17,Delivered,7.99
28,2023-08-08,23,72,44,Delivered,7.99
29,2025-12-14,25,12,82,Delivered,4.99
30,2025-02-03,11,50,68,Delivered,5.99
31,2024-04-07,90,47,71,Delivered,9.99
32,2023-03-06,84,72,44,Delivered,5.99
33,2025-09-01,71,60,40,Delivered,9.99
34,2023-06-19,22,79,1,Shipped,5.99
35,2023-07-15,73,57,89,Shipped,0
36,2025-08-31,89,19,21,Delivered,0
37,2024-07-28,88,89,66,Shipped,7.99
38,2024-10-06,23,59,92,Delivered,0
39,2025-03-26,97,48,22,Delivered,4.99
40,2025-03-07,73,14,78,Pending,7.99
41,2023-10-14,97,73,3,Pending,9.99
42,2023-07-20,7,7,23,Shipped,0
43,2025-03-23,44,74,76,Cancelled,4.99
44,2025-07-11,35,97,93,Shipped,0
45,2024-01-16,56,28,15,Pending,7.99
46,2024-08-27,11,59,92,Delivered,9.99
47,2023-11-12,35,6,98,Delivered,9.99
48,2025-03-08,95,69,32,Delivered,4.99
49,2024-09-23,1,9,14,Shipped,4.99
50,2023-09-29,14,67,58,Delivered,0
51,2025-11-15,72,34,73,Delivered,0
52,2023-07-10,46,2,93,Pending,7.99
53,2023-01-26,50,69,32,Delivered,5.99
54,2024-05-12,93,30,40,Shipped,7.99
55,2023-10-12,22,51,78,Delivered,4.99
56,2023-05-10,19,50,68,Delivered,5.99
57,2025-09-18,39,50,68,Delivered,4.99
58,2025-10-12,93,21,100,Pending,7.99
59,2023-10-05,14,16,20,Delivered,0
60,2025-02-17,43,91,36,Delivered,5.99
61,2023-10-06,84,73,3,Delivered,4.99
62,2024-10-05,62,52,55,Delivered,5.99
63,2025-10-02,38,99,74,Shipped,0
64,2025-03-15,36,38,63,Delivered,0
65,2024-01-04,76,89,66,Pending,7.99
66,2024-03-05,60,97,93,Shipped,4.99
67,2025-10-19,53,74,76,Delivered,9.99
68,2023-11-12,33,25,42,Cancelled,5.99
69,2025-07-08,10,69,32,Pending,5.99
70,2025-11-03,69,48,22,Pending,5.99
71,2023-06-24,47,45,85,Delivered,0
72,2023-04-01,22,59,92,Shipped,9.99
73,2024-11-10,97,61,52,Shipped,0
74,2024-03-30,34,1,1,Shipped,9.99
75,2024-03-28,75,96,17,Shipped,4.99
76,2025-10-21,99,33,31,Delivered,4.99
77,2024-08-28,14,3,93,Delivered,0
78,2024-09-30,45,10,81,Delivered,5.99
79,2025-09-16,67,69,32,Delivered,5.99
80,2025-07-15,93,9,14,Delivered,0
81,2023-08-24,91,25,42,Delivered,4.99
82,2023-12-03,87,57,89,Cancelled,0
83,2023-11-24,71,43,17,Delivered,7.99
84,2025-04-09,30,34,73,Pending,0
85,2023-03-01,51,58,26,Cancelled,7.99
86,2025-05-29,58,81,91,Delivered,0
87,2024-07-24,27,63,84,Cancelled,9.99
88,2023-07-28,74,70,29,Shipped,0
89,2025-07-26,26,29,47,Delivered,4.99
90,2024-10-03,68,59,92,Pending,5.99
91,2023-08-22,76,94,28,Delivered,4.99
92,2023-12-20,80,84,30,Pending,9.99
93,2023-06-23,79,78,29,Pending,0
94,2024-09-17,31,26,63,Delivered,0
95,2025-03-06,66,29,47,Delivered,7.99
96,2024-01-16,55,11,39,Shipped,9.99
97,2023-12-08,72,45,85,Shipped,4.99
98,2025-07-12,41,11,39,Pending,0
99,2025-09-19,2,88,10,Delivered,0
100,2025-11-01,72,72,44,Pending,5.99
